freq	source	label	types	activate_text
75	activate_text	SYS_BUFF_ADDITIVE_ATTACK	BT_RUN_FIRST_SKILL_TO_HIGHEST_ATK_ON_TURN_END_TEAM|BT_RUN_PASSIVE_SKILL_ON_TURN_END|BT_RUN_PASSIVE_SKILL_ON_TURN_END_TEAM|BT_RUN_PASSIVE_SKILL_ON_TURN_END_DEFENDER|BT_RUN_ACTIVE_SKILL_ON_TURN_END	SYS_BUFF_ADDITIVE_ATTACK
43	activate_text	SYS_BUFF_COUNTER	BT_RUN_PASSIVE_SKILL_ON_TURN_END_DEFENDER|BT_RUN_FIRST_SKILL_ON_TURN_END_DEFENDER|BT_RUN_PASSIVE_SKILL_ON_TURN_END_TEAM_IGNORE_SEAL_ADDITIVE	SYS_BUFF_COUNTER
16	activate_text	SYS_BUFF_REVENGE_HEAL	BT_RUN_PASSIVE_SKILL_ON_TURN_END_DEFENDER_NO_CHECK|BT_RUN_PASSIVE_SKILL_ON_TURN_END_TEAM_IGNORE_SEAL_ADDITIVE	SYS_BUFF_REVENGE_HEAL
14	activate_text	SYS_BUFF_ADDITIVE_SKILL	BT_RUN_ACTIVE_SKILL_ON_TURN_END|BT_RUN_PASSIVE_SKILL_ON_TURN_END_TEAM|BT_RUN_PASSIVE_SKILL_ON_TURN_END	SYS_BUFF_ADDITIVE_SKILL
9	activate_text	BT_REVENGE	BT_RUN_PASSIVE_SKILL_ON_TURN_END_DEFENDER	BT_REVENGE
46	tooltip_interrupt	COURAGE_AGAINST_DESPAIR	BT_ACTION_GAUGE_ENHANCE|BT_DMG|BT_NONE|BT_GROUP|BT_STAT|BT_DMG_TO_BOSS|BT_IMMUNE	SYS_BUFF_IMMUNE
10	tooltip_interrupt	FIERCE_OFFENSIVE	BT_STAT|BT_NONE	
7	tooltip_interrupt	HARMONY_OF_DESPAIR	BT_NONE	
6	tooltip_interrupt	REGINAS_WORLD	BT_DMG_REDUCE	
6	tooltip_interrupt	CHARISMA	BT_NONE	
5	tooltip_interrupt	DOLL_GARDENS_CARETAKER	BT_STAT	
5	tooltip_interrupt	RETRIBUTIONS_DOMINION	BT_NONE	
4	tooltip_interrupt	IRREGULAR_INFECTION	BT_UNIQUE_BUFF	
4	tooltip_interrupt	BANES_DOMAIN	BT_DMG_REDUCE_FINAL|BT_STAT	
4	tooltip_interrupt	UME_ICHIRIN	BT_2000065_B	
4	tooltip_interrupt	RADIANT_WILL	BT_2000094	
4	tooltip_interrupt	DEFENSE_SYSTEM_SIGMA_DOME	BT_STAT	
3	tooltip_interrupt	ARIEL	BT_NONE	
3	tooltip_interrupt	SAKURA_CHIRU	BT_2000065_A	
3	tooltip_interrupt	DESTROYERS_PUNISHMENT	BT_NONE	
2	tooltip_interrupt	HUBRISS_DOMINION	BT_NONE	
2	tooltip_interrupt	SHOW_YOUR_LOYALTY	BT_SHARE_DMG	
2	tooltip_interrupt	ETHER_BOOST	BT_AP_DECREASE	
2	tooltip_interrupt	FORTIFICATION	BT_DMG_REDUCE	
2	tooltip_interrupt	PUREBLOODS_DOMINION	BT_NONE	
2	tooltip_interrupt	KERAUNOS	BT_REDUCE_RECEIVE_HEAL	
2	tooltip_interrupt	A_NINJAS_AFTERIMAGE	BT_NONE|BT_DMG_REDUCE	
2	tooltip_interrupt	SPATIAL_DISTORTION_SELF	BT_DMG_REDUCE_FINAL_WITH_OUT_FIRST_SKILL	
2	tooltip_interrupt	SPATIAL_DISTORTION_ENEMY	BT_STAT	
2	tooltip_interrupt	WHITE_NIGHT	BT_NONE	
2	tooltip_interrupt	POLAR_NIGHT	BT_NONE	
2	tooltip_interrupt	CORE_ENERGY	BT_NONE	
1	tooltip_interrupt	IRREGULAR_ADVERSARY	BT_NONE	
1	tooltip_interrupt	ADAMS_APPLE	BT_NONE	
1	tooltip_interrupt	EXECUTION_TIME	BT_DMG_REDUCE	
1	tooltip_interrupt	SELFISH_GOD	BT_NONE	
